Название,Метро
Московский государственный университет имени М.В. Ломоносова,Университет
Московский государственный университет имени М.В. Ломоносова,Библиотека имени Ленина
Московский государственный университет имени М.В. Ломоносова,Охотный ряд
Московский государственный технический университет имени Н.Э. Баумана (национальный исследовательский университет),Бауманская
Московский государственный технический университет имени Н.Э. Баумана (национальный исследовательский университет),Речной вокзал
Московский государственный технический университет имени Н.Э. Баумана (национальный исследовательский университет),Планерная
"Национальный исследовательский университет ""Высшая школа экономики""",Чистые пруды
"Национальный исследовательский университет ""Высшая школа экономики""",Тургеневская
"Национальный исследовательский университет ""Высшая школа экономики""",Курская
"Национальный исследовательский университет ""Высшая школа экономики""",Китай-город
"Национальный исследовательский университет ""Высшая школа экономики""",Чкаловская
"Национальный исследовательский университет ""Высшая школа экономики""",Новокузнецкая
"Национальный исследовательский университет ""Высшая школа экономики""",Шаболовская
"Национальный исследовательский университет ""Высшая школа экономики""",Красные ворота
"Национальный исследовательский университет ""Высшая школа экономики""",Комсомольская
"Национальный исследовательский университет ""Высшая школа экономики""",Третьяковская
"Национальный исследовательский университет ""Высшая школа экономики""",Ленинский проспект
"Национальный исследовательский университет ""Высшая школа экономики""",Семеновская
"Национальный исследовательский университет ""Высшая школа экономики""",Павелецкая
"Национальный исследовательский университет ""Высшая школа экономики""",Строгино
"Национальный исследовательский университет ""Высшая школа экономики""",Фрунзенская
"Национальный исследовательский университет ""Высшая школа экономики""",Лубянка
Российская академия народного хозяйства и государственной службы при Президенте РФ,Шаболовская
Российская академия народного хозяйства и государственной службы при Президенте РФ,Парк культуры
Российская академия народного хозяйства и государственной службы при Президенте РФ,Текстильщики
Российская академия народного хозяйства и государственной службы при Президенте РФ,Владыкино
Российская академия народного хозяйства и государственной службы при Президенте РФ,Коломенская
Российская академия народного хозяйства и государственной службы при Президенте РФ,Юго-Западная
Российский экономический университет имени Г.В. Плеханова,Серпуховская
Общежитие РЭУ Плеханова,Добрынинская
Общежитие РЭУ Плеханова,Павелецкая
Общежитие РЭУ Плеханова,Серпуховская
Общежитие №1 РАНХиГС,Юго-Западная
Общежитие №2 РАНХиГС,Текстильщики
Общежитие №3 РАНХиГС,Царицыно 
МГТУ им. Н.Э. Баумана №2,Электрозаводская
МГТУ им. Н.Э. Баумана №5,Измайловская
МГТУ им. Н.Э. Баумана №6,Измайловская
МГТУ им. Н.Э. Баумана №8,Измайловская
МГТУ им. Н.Э. Баумана №9,Измайловская
МГТУ им. Н.Э. Баумана № 10,Бауманская
МГТУ им. Н.Э. Баумана №11,Бауманская
НИУ ВШЭ Общежитие №1,Рижская
НИУ ВШЭ Общежитие №1,Комсомольская
НИУ ВШЭ Общежитие №1,Проспект мира
НИУ ВШЭ Общежитие №2,Шоссе Энтузиастов
НИУ ВШЭ Общежитие №3,Авиамоторная
НИУ ВШЭ Общежитие №4,Студенческая
НИУ ВШЭ Общежитие №5,ВДНХ
НИУ ВШЭ Общежитие №6,Кунцевская
НИУ ВШЭ Общежитие №7,Текстильщики
НИУ ВШЭ Общежитие №8,Одинцово
НИУ ВШЭ Общежитие №9,Люблино
НИУ ВШЭ Общежитие №10,Рязанский проспект
НИУ ВШЭ Общежитие №10,Окская
"НИУ ВШЭ ""Дом аспиранта""",Текстильщики
"МГУ ""Дом студента""",Университет
"МГУ ""Филиал Дома студента""",Университет
"МГУ ""Дом студента на Ломоносовском""",Университет
"МГУ ""Дом студента на проспекте Вернадского""",Проспект Вернадского
"МГУ ""Дом студента на Кравченко""",Проспект Вернадского
"МГУ ""Дом аспиранта и стажера""",Университет
"МГУ ""Дом студента в Ясенево""",Ясенево