Название,Метро,Rating
Московский государственный университет имени М.В. Ломоносова,Университет,1
Московский государственный университет имени М.В. Ломоносова,Библиотека имени Ленина,1
Московский государственный университет имени М.В. Ломоносова,Охотный ряд,1
Московский государственный технический университет имени Н.Э. Баумана (национальный исследовательский университет),Бауманская,2
Московский государственный технический университет имени Н.Э. Баумана (национальный исследовательский университет),Речной вокзал,2
Московский государственный технический университет имени Н.Э. Баумана (национальный исследовательский университет),Планерная,2
"Национальный исследовательский университет ""Высшая школа экономики""",Чистые пруды,3
"Национальный исследовательский университет ""Высшая школа экономики""",Тургеневская,3
"Национальный исследовательский университет ""Высшая школа экономики""",Курская,3
"Национальный исследовательский университет ""Высшая школа экономики""",Китай-город,3
"Национальный исследовательский университет ""Высшая школа экономики""",Чкаловская,3
"Национальный исследовательский университет ""Высшая школа экономики""",Новокузнецкая,3
"Национальный исследовательский университет ""Высшая школа экономики""",Шаболовская,3
"Национальный исследовательский университет ""Высшая школа экономики""",Красные ворота,3
"Национальный исследовательский университет ""Высшая школа экономики""",Комсомольская,3
"Национальный исследовательский университет ""Высшая школа экономики""",Третьяковская,3
"Национальный исследовательский университет ""Высшая школа экономики""",Ленинский проспект,3
"Национальный исследовательский университет ""Высшая школа экономики""",Семеновская,3
"Национальный исследовательский университет ""Высшая школа экономики""",Павелецкая,3
"Национальный исследовательский университет ""Высшая школа экономики""",Строгино,3
"Национальный исследовательский университет ""Высшая школа экономики""",Фрунзенская,3
"Национальный исследовательский университет ""Высшая школа экономики""",Лубянка,3
Российская академия народного хозяйства и государственной службы при Президенте РФ,Шаболовская,4
Российская академия народного хозяйства и государственной службы при Президенте РФ,Парк культуры,4
Российская академия народного хозяйства и государственной службы при Президенте РФ,Текстильщики,4
Российская академия народного хозяйства и государственной службы при Президенте РФ,Владыкино,4
Российская академия народного хозяйства и государственной службы при Президенте РФ,Коломенская,4
Российская академия народного хозяйства и государственной службы при Президенте РФ,Юго-Западная,4
Российский экономический университет имени Г.В. Плеханова,Серпуховская,5
Общежитие РЭУ Плеханова,Добрынинская,5
Общежитие РЭУ Плеханова,Павелецкая,5
Общежитие РЭУ Плеханова,Серпуховская,5
Общежитие №1 РАНХиГС,Юго-Западная,4
Общежитие №2 РАНХиГС,Текстильщики,4
Общежитие №3 РАНХиГС,Царицыно ,4
МГТУ им. Н.Э. Баумана №2,Электрозаводская,2
МГТУ им. Н.Э. Баумана №5,Измайловская,2
МГТУ им. Н.Э. Баумана №6,Измайловская,2
МГТУ им. Н.Э. Баумана №8,Измайловская,2
МГТУ им. Н.Э. Баумана №9,Измайловская,2
МГТУ им. Н.Э. Баумана № 10,Бауманская,2
МГТУ им. Н.Э. Баумана №11,Бауманская,2
НИУ ВШЭ Общежитие №1,Рижская,3
НИУ ВШЭ Общежитие №1,Комсомольская,3
НИУ ВШЭ Общежитие №1,Проспект мира,3
НИУ ВШЭ Общежитие №2,Шоссе Энтузиастов,3
НИУ ВШЭ Общежитие №3,Авиамоторная,3
НИУ ВШЭ Общежитие №4,Студенческая,3
НИУ ВШЭ Общежитие №5,ВДНХ,3
НИУ ВШЭ Общежитие №6,Кунцевская,3
НИУ ВШЭ Общежитие №7,Текстильщики,3
НИУ ВШЭ Общежитие №8,Одинцово,3
НИУ ВШЭ Общежитие №9,Люблино,3
НИУ ВШЭ Общежитие №10,Рязанский проспект,3
НИУ ВШЭ Общежитие №10,Окская,3
"НИУ ВШЭ ""Дом аспиранта""",Текстильщики,3
"МГУ ""Дом студента""",Университет,1
"МГУ ""Филиал Дома студента""",Университет,1
"МГУ ""Дом студента на Ломоносовском""",Университет,1
"МГУ ""Дом студента на проспекте Вернадского""",Проспект Вернадского,1
"МГУ ""Дом студента на Кравченко""",Проспект Вернадского,1
"МГУ ""Дом аспиранта и стажера""",Университет,1
"МГУ ""Дом студента в Ясенево""",Ясенево,1